Identifiers,Set Identifiers,Name,Pitch,Cost,Power,Defense,Life,Intelligence,Types,Card Keywords,Abilities and Effects,Ability and Effect Keywords,Granted Keywords,Removed Keywords,Interacts with Keywords,Functional Text,Type Text,Card Played Horizontally,Blitz Legal,CC Legal,Commoner Legal,Rarity,Foiling,Art Variation,Artist,Flavor Text,Image URL,Rarity 2,Foiling 2,Art Variation 2,Artist 2,Flavor Text 2,Image URL 2
EVO000,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO001,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO002,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO003,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO004,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO005,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO006,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO007,EVO,"Teklovossen, Esteemed Magnate",,,,,40,4,"Mechanologist, Hero",,Once per Turn Instant,,,,,"You may play Evos from your banished zone.

**Once per Turn Instant** - {r}{r}{r}: You may play your next Evo this turn as though it were an instant. When you do, draw a card.",Mechanologist Hero,,No,,No,M,S,,Simon Dominic,,https://dhhim4ltzu1pj.cloudfront.net/media/images/EVO007.width-450.format-webp.webp,,,,,,
EVO008,EVO,Teklovossen,,,,,20,4,"Mechanologist, Hero, Young",,Once per Turn Instant,,,,,"You may play Evos from your banished zone.

**Once per Turn Instant** - {r}{r}{r}: You may play your next Evo this turn as though it were an instant. When you do, draw a card.",Mechanologist Hero - Young,,,No,,T,S,,Simon Dominic,,https://dhhim4ltzu1pj.cloudfront.net/media/images/EVO008.width-450.format-webp.webp,,,,,,
EVO009,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO010,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO011,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO012,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO013,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO014,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO015,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO016,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO017,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO018,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO019,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO020,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO021,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO022,EVO,Proto Base Head,,,,,,,"Mechanologist, Equipment, Base, Head",,,,,,,,Mechanologist Equipment - Base Head,,,,,T,S,,Vlad Tashkinov,,https://dhhim4ltzu1pj.cloudfront.net/media/images/EVO022.width-450.format-webp.webp,,,,,,
EVO023,EVO,Proto Base Chest,,,,,,,"Mechanologist, Equipment, Base, Chest",,,,,,,,Mechanologist Equipment - Base Chest,,,,,T,S,,Dmitriy Semyonov,,https://dhhim4ltzu1pj.cloudfront.net/media/images/EVO023.width-450.format-webp.webp,,,,,,
EVO024,EVO,Proto Base Arms,,,,,,,"Mechanologist, Equipment, Base, Arms",,,,,,,,Mechanologist Equipment - Base Arms,,,,,T,S,,Grigoriy Parshakov,,https://dhhim4ltzu1pj.cloudfront.net/media/images/EVO024.width-450.format-webp.webp,,,,,,
EVO025,EVO,Proto Base Legs,,,,,,,"Mechanologist, Equipment, Base, Legs",,,,,,,,Mechanologist Equipment - Base Legs,,,,,T,S,,Revazashvili E.,,https://dhhim4ltzu1pj.cloudfront.net/media/images/EVO025.width-450.format-webp.webp,,,,,,
EVO026,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO027,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO028,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO029,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO030,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO031,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO032,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO033,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO034,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO035,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO036,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO037,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO038,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO039,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO040,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO041,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO042,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO043,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO044,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO045,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO046,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO047,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO048,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO049,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO050,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO051,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO052,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO053,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO054,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO055,EVO,Terminator Tank,1,6,6,3,,,"Mechanologist, Action, Attack",Overpower,,,,,,"If you have 1 or more Evos equipped, this gets ""When this hits a hero, they discard a card,"" 

- 2 or more, this costs {r}{r}{r} less to play,
- 3 or more, this gets **overpower**,
- 4 or more, this gets +3{p}.",Mechanologist Action - Attack,,No,,No,M,S,,Simon Dominic,,https://dhhim4ltzu1pj.cloudfront.net/media/images/EVO055.width-450.format-webp.webp,M,R,EA,Simon Dominic,,
EVO056,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO057,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO058,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO059,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO060,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO061,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO062,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO063,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO064,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO065,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO066,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO067,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO068,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO069,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO070,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO071,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO072,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO073,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO074,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO075,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO076,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO077,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO078,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO079,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO080,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO081,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO082,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO083,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO084,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO085,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO086,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO087,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO088,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO089,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO090,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO091,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO092,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO093,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO094,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO095,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO096,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO097,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO098,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO099,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO100,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO101,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO102,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO103,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO104,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO105,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO106,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO107,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO108,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO109,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO110,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO111,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO112,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO113,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO114,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO115,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO116,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO117,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO118,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO119,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO120,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO121,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO122,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO123,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO124,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO125,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO126,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO127,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO128,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO129,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO130,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO131,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO132,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO133,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO134,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO135,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO136,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO137,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO138,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO139,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO140,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO141,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO142,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO143,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO144,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO145,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO146,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO147,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO148,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO149,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO150,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO151,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO152,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO153,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO154,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO155,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO156,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO157,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO158,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO159,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO160,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO161,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO162,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO163,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO164,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO165,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO166,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO167,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO168,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO169,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO170,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO171,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO172,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO173,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO174,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO175,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO176,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO177,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO178,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO179,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO180,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO181,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO182,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO183,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO184,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO185,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO186,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO187,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO188,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO189,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO190,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO191,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO192,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO193,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO194,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO195,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO196,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO197,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO198,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO199,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO200,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO201,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO202,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO203,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO204,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO205,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO206,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO207,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO208,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO209,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO210,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO211,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO212,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO213,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO214,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO215,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO216,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO217,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO218,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO219,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO220,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO221,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO222,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO223,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO224,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO225,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO226,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO227,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO228,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO229,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO230,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO231,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO232,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO233,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO234,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO235,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO236,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO237,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO238,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO239,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO240,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO241,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO242,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO243,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO244,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO245,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO246,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO247,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO248,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO249,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO250,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGS186,"LGS, EVO",Teklo Base Head,,,,1,,,"Mechanologist, Equipment, Base, Head",Blade Break,,,,,,**Blade Break**,Mechanologist Equipment - Base Head,,,,,P,C,,Alief Rusdiatama,,https://dhhim4ltzu1pj.cloudfront.net/media/images/LGS186.width-450.format-webp.webp,,,,,,
LGS187,"LGS, EVO",Teklo Base Chest,,,,1,,,"Mechanologist, Equipment, Base, Chest",Blade Break,,,,,,**Blade Break**,Mechanologist Equipment - Base Chest,,,,,P,C,,Septimius Ferdian,,https://dhhim4ltzu1pj.cloudfront.net/media/images/LGS187.width-450.format-webp.webp,,,,,,
LGS188,"LGS, EVO",Teklo Base Arms,,,,1,,,"Mechanologist, Equipment, Base, Arms",Blade Break,,,,,,**Blade Break**,Mechanologist Equipment - Base Arms,,,,,P,C,,Lizhe Liang,,https://dhhim4ltzu1pj.cloudfront.net/media/images/LGS188.width-450.format-webp.webp,,,,,,
LGS189,"LGS, EVO",Teklo Base Legs,,,,1,,,"Mechanologist, Equipment, Base, Legs",Blade Break,,,,,,**Blade Break**,Mechanologist Equipment - Base Legs,,,,,P,C,,Erick Efata,,https://dhhim4ltzu1pj.cloudfront.net/media/images/LGS189.width-450.format-webp.webp,,,,,,
